id,title,original_title,release_date,popularity,vote_average,vote_count,overview,poster_path,backdrop_path,original_language,genre_ids
324544,In the Lost Lands,In the Lost Lands,2025-02-27,186.644,6.339,339,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where she and her guide, the drifter Boyce, must outwit and outfight both man and demon.",https://image.tmdb.org/t/p/w500/dDlfjR7gllmr8HTeN6rfrYhTdwX.jpg,https://image.tmdb.org/t/p/w500/op3qmNhvwEvyT7UFyPbIfQmKriB.jpg,en,"28, 14, 12"
1225915,Jewel Thief: The Heist Begins,ज्वेल थीफ: द हीस्ट बिगिन्स,2025-04-25,186.4233,6.7,35,"In this high-octane battle of wits and wills, ingenious con artist Rehan devises a diamond heist while trying to outsmart Rajan, his sadistic adversary.",https://image.tmdb.org/t/p/w500/eujLbO0kf1eqWC8XpHUJdtAVW2J.jpg,https://image.tmdb.org/t/p/w500/kFXtAwJYbRTqiyQpE9kDc8qEP3X.jpg,hi,"28, 53"
1153714,Death of a Unicorn,Death of a Unicorn,2025-03-27,198.8344,6.4,172,"A father and daughter accidentally hit and kill a unicorn while en route to a weekend retreat, where his billionaire boss seeks to exploit the creature’s miraculous curative properties.",https://image.tmdb.org/t/p/w500/lXR32JepFwD1UHkplWqtBP1K79z.jpg,https://image.tmdb.org/t/p/w500/eDBZN0TbWkxoAB0qIDFagVcPPTN.jpg,en,"27, 14, 35, 12"
974573,Another Simple Favor,Another Simple Favor,2025-03-07,159.7246,6.2,185,"Stephanie and Emily reunite on the beautiful island of Capri, Italy for Emily's extravagant wedding to a rich Italian businessman. Along with the glamorous guests, expect murder and betrayal to RSVP for a wedding with more twists and turns than the road from the Marina Grande to the Capri town square.",https://image.tmdb.org/t/p/w500/zboCGZ4aIqPMd7VFI4HWnmc7KYJ.jpg,https://image.tmdb.org/t/p/w500/z3edlTX9YDBrVMoYupMsc8qdiUw.jpg,en,"53, 35, 80"
1471014,Van Gogh by Vincent,Van Gogh by Vincent,2025-03-26,145.0194,6.4,14,"In a career that lasted only ten years, Vincent Van Gogh painted one subject more than any other: himself. This is the story of Vincent told using eight of his most iconic self-portraits.",https://image.tmdb.org/t/p/w500/z73X4WKZghBh5fri31o8P6vBEB2.jpg,https://image.tmdb.org/t/p/w500/1AWjIUgbZYaKbwUH5qoJaKCcRkf.jpg,fr,99
1233413,Sinners,Sinners,2025-04-16,149.8042,7.571,618,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",https://image.tmdb.org/t/p/w500/jYfMTSiFFK7ffbY2lay4zyvTkEk.jpg,https://image.tmdb.org/t/p/w500/nAxGnGHOsfzufThz20zgmRwKur3.jpg,en,"28, 27, 53"
497698,Black Widow,Black Widow,2021-07-07,139.9633,7.208,10510,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",https://image.tmdb.org/t/p/w500/kwB7d51AIcyzPOBOHLCEZJkmPhQ.jpg,https://image.tmdb.org/t/p/w500/6azpBJGcLx9SKif8h9VMnflBfa.jpg,en,"28, 12, 878"
1414048,Day of Reckoning,Day of Reckoning,2025-03-28,132.6639,6.706,17,"Put-upon lawman John Dorsey is on the verge of losing his wife and his job as sheriff, so he posses up with bullish U.S. Marshall Butch Hayden to hold outlaw Emily Rusk hostage. A battle of wills ensues as Emily turns the posse on themselves, but as her marauding husband and his gang approach, Emily and John realize they will need each other to survive.",https://image.tmdb.org/t/p/w500/cVSjSQryFUERYSdOmdgJ2m0eBte.jpg,https://image.tmdb.org/t/p/w500/1hBtO9tXP60IFBZD27OsbaBmxs5.jpg,en,"37, 28"
1356236,Saint Catherine,Saint Catherine,2024-09-24,148.1451,6.239,23,An orphaned girl is rescued from a satanic ritual and taken to Saint Catherine Institute for homeless youth. There she will learn new skills while facing demons that stalk her.,https://image.tmdb.org/t/p/w500/hBJdzKPeDaC96AzlrtMWBomYSZV.jpg,https://image.tmdb.org/t/p/w500/svLj9iyRmmeNVRsMreANn7DPPZE.jpg,en,27
1124620,The Monkey,The Monkey,2025-02-14,137.3053,5.901,583,"When twin brothers find a mysterious wind-up monkey, a series of outrageous deaths tear their family apart. Twenty-five years later, the monkey begins a new killing spree forcing the estranged brothers to confront the cursed toy.",https://image.tmdb.org/t/p/w500/yYa8Onk9ow7ukcnfp2QWVvjWYel.jpg,https://image.tmdb.org/t/p/w500/6dC7ULfiutxwEAs7LjWHL2Tc7Zv.jpg,en,"27, 35"
299537,Captain Marvel,Captain Marvel,2019-03-06,120.2694,6.8,16012,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",https://image.tmdb.org/t/p/w500/AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg,https://image.tmdb.org/t/p/w500/qAzYK4YPSWDc7aa4R43LcwRIAyb.jpg,en,"28, 12, 878"
1180906,Desert Dawn,Desert Dawn,2025-05-15,109.9526,0.0,0,A newly appointed small-town sheriff and his begrudging deputy get tangled up in a web of lies and corruption involving shady businessmen and the cartel while investigating the murder of a mysterious woman.,https://image.tmdb.org/t/p/w500/S21BfLrJSD9njucBfY3CKqp8rD.jpg,https://image.tmdb.org/t/p/w500/bFmziv84NfEVEGTK8c6EVY3bxve.jpg,en,"28, 80, 9648, 53"
1136721,The Glenarma Tapes,The Glenarma Tapes,2024-04-02,120.6564,7.111,9,In Spring 2020 when five students and two faculty members from the Mid Ulster College of Art go missing in a forest on the north coast of Ireland. What happened on the day they disappeared has remained a mystery - until now.,https://image.tmdb.org/t/p/w500/m0kojZkP1vcK9F8XSWfw9haJHKz.jpg,https://image.tmdb.org/t/p/w500/nyZjhvcmeXcr8H2Xx6JzKEAxPph.jpg,en,27
297762,Wonder Woman,Wonder Woman,2017-05-30,98.4806,7.217,20200,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,https://image.tmdb.org/t/p/w500/v4ncgZjG2Zu8ZW5al1vIZTsSjqX.jpg,https://image.tmdb.org/t/p/w500/AaABt75ZzfMGrscUR2seabz4PEX.jpg,en,"28, 12, 14"
1276073,Bullet Train Explosion,新幹線大爆破,2025-04-23,102.2618,6.9,150,"When panic erupts on a Tokyo-bound bullet train that will explode if it slows below 100 kph, authorities race against time to save everyone on board.",https://image.tmdb.org/t/p/w500/jmzxlDBwgvRbpPJzNQwizyn9UEn.jpg,https://image.tmdb.org/t/p/w500/Zes06xI18u47pblwRGTtqRm0R8.jpg,ja,"28, 53, 80, 18"
335984,Blade Runner 2049,Blade Runner 2049,2017-10-04,89.6182,7.58,14100,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",https://image.tmdb.org/t/p/w500/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,https://image.tmdb.org/t/p/w500/bMdSmfI0qwpAkvhAL7sqpjmwgf4.jpg,en,"878, 18"
302946,The Accountant,The Accountant,2016-10-03,96.7883,7.1,6525,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",https://image.tmdb.org/t/p/w500/fceheXB5fC4WrLVuWJ6OZv9FXYr.jpg,https://image.tmdb.org/t/p/w500/dTGECn8He16tZeBHQTLf6rVydE8.jpg,en,"80, 53, 18"
1249213,Drop,Drop,2025-04-10,93.5279,6.555,263,"Violet, a widowed mother on her first date in years, arrives at an upscale restaurant where she is relieved that her date, Henry, is more charming and handsome than she expected. But their chemistry begins to curdle as Violet begins being irritated and then terrorized by a series of anonymous drops to her phone.",https://image.tmdb.org/t/p/w500/dS2S5lpfgRIRQOb7LDCjNsQqKjp.jpg,https://image.tmdb.org/t/p/w500/2CcMG34v4PCynvxwmBUwVtNqsKL.jpg,en,"9648, 53"
1241982,Moana 2,Moana 2,2024-11-21,105.2321,7.078,2327,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",https://image.tmdb.org/t/p/w500/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg,https://image.tmdb.org/t/p/w500/zo8CIjJ2nfNOevqNajwMRO6Hwka.jpg,en,"16, 12, 10751, 35"
1403735,Laila,లైలా,2025-02-14,104.3369,5.0,3,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",https://image.tmdb.org/t/p/w500/l4gsNxFPGpzbq0D6QK1a8vO1lBz.jpg,https://image.tmdb.org/t/p/w500/vNUwK5P42m81uG57kKI1WxSZwIQ.jpg,te,"35, 10749"
1092899,The Siege,The Siege,2023-03-10,90.6336,5.448,48,"International assassin Walker is compromised during a mission and sent to a reassignment center for a new identity. During his stay at the facility, a ruthless assault team storms the compound searching for someone their boss has lost. Walker begrudgingly falls in with skilled hitwoman Elda and her mysterious ward Juliet in order to survive the night.",https://image.tmdb.org/t/p/w500/hVh4hMzkXNLnScudbid6hDvjMPk.jpg,https://image.tmdb.org/t/p/w500/4eC0tsU9OxR3Adlo1yRJYUDraW9.jpg,en,"28, 53"
974576,Conclave,Conclave,2024-10-25,112.7404,7.199,2355,"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",https://image.tmdb.org/t/p/w500/l4WXg5oQPK6GVlISKQNIUGb8rKJ.jpg,https://image.tmdb.org/t/p/w500/1YMrOtrW7b4pL2lfD8UciZPOJGs.jpg,en,"18, 53, 9648"
1307520,The Biggest Fan,La más fan,2025-05-01,86.5228,4.769,13,"Canceled in Hollywood, star Lana Cruz heads to her hometown for a comeback. Enter Polly, her fan-turned-frenemy. Can Lana dodge drama and reclaim her fame?",https://image.tmdb.org/t/p/w500/wgUmsekYPOt9ZQ8ero91qRnmhQY.jpg,https://image.tmdb.org/t/p/w500/iznPd7PLnCBA1G50M4DuA9wvCIy.jpg,es,35
1195506,Novocaine,Novocaine,2025-03-12,85.9556,6.92,701,"When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.",https://image.tmdb.org/t/p/w500/xmMHGz9dVRaMY6rRAlEX4W0Wdhm.jpg,https://image.tmdb.org/t/p/w500/sNx1A3822kEbqeUxvo5A08o4N7o.jpg,en,"28, 35, 53"
1045938,G20,G20,2025-04-10,82.1321,6.57,459,"After the G20 Summit is overtaken by terrorists, President Danielle Sutton must bring all her statecraft and military experience to defend her family and her fellow leaders.",https://image.tmdb.org/t/p/w500/wv6oWAleCJZUk5htrGg413t3GCy.jpg,https://image.tmdb.org/t/p/w500/k32XKMjmXMGeydykD32jfER3BVI.jpg,en,"28, 9648, 18"
762509,Mufasa: The Lion King,Mufasa: The Lion King,2024-12-18,81.9831,7.411,2069,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",https://image.tmdb.org/t/p/w500/lurEK87kukWNaHd0zYnsi3yzJrs.jpg,https://image.tmdb.org/t/p/w500/oHPoF0Gzu8xwK4CtdXDaWdcuZxZ.jpg,en,"12, 10751, 16"
870028,The Accountant²,The Accountant²,2025-04-23,74.7749,7.237,139,"When an old acquaintance is murdered, Wolff is compelled to solve the case. Realizing more extreme measures are necessary, Wolff recruits his estranged and highly lethal brother, Brax, to help. In partnership with Marybeth Medina, they uncover a deadly conspiracy, becoming targets of a ruthless network of killers who will stop at nothing to keep their secrets buried.",https://image.tmdb.org/t/p/w500/kMDUS7VmFhb2coRfVBoGLR8ADBt.jpg,https://image.tmdb.org/t/p/w500/rdxdvXQGqCj2Vb7SvTL8gdxlSzI.jpg,en,"80, 53, 28"
939243,Sonic the Hedgehog 3,Sonic the Hedgehog 3,2024-12-19,76.1671,7.725,2513,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",https://image.tmdb.org/t/p/w500/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg,https://image.tmdb.org/t/p/w500/zOpe0eHsq0A2NvNyBbtT6sj53qV.jpg,en,"28, 878, 35, 10751"
1125880,Swarm,Rój,2023-05-11,60.5704,4.5,2,"A secluded island somewhere on a seas of the Northern Europe. A family of four has lived here for over ten years, perfecting the art of survival. They had moved onto an island to escape a falling civilization, to live in freedom, close to nature.  But, things can’t be solved by simply escaping the world, and problems arise when the Mother becomes pregnant again. Moreover, Winter is coming. It seems the only solution is in leaving the island, but this meets with stern dissent from the Father, who sees the place as the only safe haven on earth. Will the others find the courage to stand up to the Father? Can their family survive what comes next?",https://image.tmdb.org/t/p/w500/6Cmu2RgUd7u5Bk8AaKZktLbxMbW.jpg,https://image.tmdb.org/t/p/w500/q2DZEtjm6ZXqy43nnWVzkP59EBk.jpg,pl,18
496243,Parasite,기생충,2019-05-30,61.3,8.5,19010,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,https://image.tmdb.org/t/p/w500/hiKmpZMGZsrkA3cdce8a7Dpos1j.jpg,ko,"35, 53, 18"
348,Alien,Alien,1979-05-25,40.8166,8.163,15252,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",https://image.tmdb.org/t/p/w500/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,https://image.tmdb.org/t/p/w500/hdHIjZxq3SWFqpAz4NFhdbud0iz.jpg,en,"27, 878"
678512,Sound of Freedom,Sound of Freedom,2023-07-03,52.3307,8.0,2535,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",https://image.tmdb.org/t/p/w500/kSf9svfL2WrKeuK8W08xeR5lTn8.jpg,https://image.tmdb.org/t/p/w500/P3GAbRjzVo9RKU4WxzvtgwlITc.jpg,en,"28, 18"
950396,The Gorge,The Gorge,2025-02-13,62.6714,7.7,2533,"Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.",https://image.tmdb.org/t/p/w500/7iMBZzVZtG0oBug4TfqDb9ZxAOa.jpg,https://image.tmdb.org/t/p/w500/9nhjGaFLKtddDPtPaX5EmKqsWdH.jpg,en,"10749, 878, 53"
1293286,Gunslingers,Gunslingers,2025-04-11,57.5197,6.429,49,"When the most wanted man in America surfaces in a small Kentucky town, his violent history -- and a blood-thirsty mob seeking vengeance and a king’s ransom -- soon follow. As brothers face off against one another and bullets tear the town to shreds, this lightning-fast gunslinger makes his enemies pay the ultimate price for their greed.",https://image.tmdb.org/t/p/w500/O7REXWPANWXvX2jhQydHjAq2DV.jpg,https://image.tmdb.org/t/p/w500/zksO4lVnRKRoaSYzh2EDn2Z3Pel.jpg,en,"37, 28"
436969,The Suicide Squad,The Suicide Squad,2021-07-28,58.1903,7.489,8875,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",https://image.tmdb.org/t/p/w500/q61qEyssk2ku3okWICKArlAdhBn.jpg,https://image.tmdb.org/t/p/w500/rAgsOIhqRS6tUthmHoqnqh9PIAE.jpg,en,"28, 35, 12"
1010581,My Fault,Culpa mía,2023-06-08,61.8453,7.816,3673,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",https://image.tmdb.org/t/p/w500/w46Vw536HwNnEzOa7J24YH9DPRS.jpg,https://image.tmdb.org/t/p/w500/oz4U9eA6ilYf1tyiVuGmkftdLac.jpg,es,"10749, 18"
574475,Final Destination Bloodlines,Final Destination Bloodlines,2025-05-09,63.3385,6.9,9,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",https://image.tmdb.org/t/p/w500/cAoktVUBhGyULRoxV6mZ2LB3x7I.jpg,https://image.tmdb.org/t/p/w500/7wKnf6ILtRmKXV8eJWk0P6ZXnQ.jpg,en,"27, 9648"
575265,Mission: Impossible - The Final Reckoning,Mission: Impossible - The Final Reckoning,2025-05-17,62.0192,0.0,0,"Ethan Hunt and the IMF team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Ethan's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",https://image.tmdb.org/t/p/w500/z53D72EAOxGRqdr7KXXWp9dJiDe.jpg,https://image.tmdb.org/t/p/w500/7ONMDhnErvpkKvkZqM82ud7bzcT.jpg,en,"28, 12, 53"
1189423,The Sloth Lane,The Sloth Lane,2024-07-25,60.9501,6.531,16,"After a terrifying storm destroys their home, a speedy sloth named Laura and her kooky family move to the big city in their rusted old food truck, Gordito, hoping to make their business a success. The family's delicious food catches the eye of a quick-witted cheetah who will stop at nothing to revive her failing fast-food business.",https://image.tmdb.org/t/p/w500/toBN1A9AnhoUzXyu9gaVyQVJehp.jpg,https://image.tmdb.org/t/p/w500/lNQD8NdJ37winY0xEwjp9hUFqLX.jpg,en,"16, 10751"
950784,Flame of Recca: Final Burning,烈火の炎 FINAL BURNING,2004-06-10,55.3705,9.5,2,A retold ending based on the final few chapters of the Flame of Recca manga series.,https://image.tmdb.org/t/p/w500/mz4JRlydPga303keGQh5Ib0rLDC.jpg,,ja,"16, 28"
1244944,The Woman in the Yard,The Woman in the Yard,2025-03-27,59.5214,6.2,143,"In the aftermath of her husband's death, widow Ramona's struggle to raise her two kids is hindered by the arrival of a mysterious woman with supernatural abilities.",https://image.tmdb.org/t/p/w500/n0WS2TsNcS6dtaZKzxipyO7LuCJ.jpg,https://image.tmdb.org/t/p/w500/3lEV4CoKoeT2cZ4fbKEJugZcw6Z.jpg,en,"27, 9648"
1252309,Ask Me What You Want,Pídeme lo que quieras,2024-11-29,57.4138,5.997,164,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. However, Eric fears his secret may end their affair.",https://image.tmdb.org/t/p/w500/k82T5L1utX1G2LhNWeza9nGUKPk.jpg,https://image.tmdb.org/t/p/w500/qiVrapzgrDO7c6yQTSvn0dhwsn8.jpg,es,"10749, 18"
71689,Phineas and Ferb The Movie: Across the 2nd Dimension,Phineas and Ferb The Movie: Across the 2nd Dimension,2011-08-05,55.3726,7.077,565,"Phineas and Ferb get trapped in an alternate dimension where the evil Doofenshmirtz rules the tri-state area. They must find a way back home with the help of their pet platypus named Perry, who they discover is a secret agent.",https://image.tmdb.org/t/p/w500/updMFSOZwEftfkJRpozwBlRlYI2.jpg,https://image.tmdb.org/t/p/w500/uxezSInaPoH20CyHx4TuY1LzGly.jpg,en,"16, 35, 10751, 10770, 878, 12, 28, 10402"
931349,Ash,Ash,2025-03-20,49.0315,5.361,205,A woman wakes up on a distant planet and finds the crew of her space station viciously killed. Her investigation into what happened sets in motion a terrifying chain of events.,https://image.tmdb.org/t/p/w500/nRa8B3tQCUK6pVwjasIyQehbvpF.jpg,https://image.tmdb.org/t/p/w500/sQa299yggIkxfwKJFgzYwDdsC9t.jpg,en,"878, 27, 53"
912649,Venom: The Last Dance,Venom: The Last Dance,2024-10-22,55.8331,6.756,3285,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",https://image.tmdb.org/t/p/w500/vGXptEdgZIhPg3cGlc7e8sNPC2e.jpg,https://image.tmdb.org/t/p/w500/3V4kLQg0kSqPLctI5ziYWabAZYF.jpg,en,"28, 878, 12"
1296500,Un lío de millones,Un lío de millones,2024-12-20,55.4318,6.167,12,"In a village in the Sierra de Madrid, a couple feels that their children, who have since moved out, have forgotten about them. To get them back, they will pretend that they have won the lottery and that they are multimillionaires.",https://image.tmdb.org/t/p/w500/1gPOV4ExV0AAGMLpF3em6BSRVV8.jpg,https://image.tmdb.org/t/p/w500/9JqrqquYOarMFb3O4j6gdJZG36K.jpg,es,35
1125899,Cleaner,Cleaner,2025-02-19,48.4975,6.7,244,"When a group of radical activists take over an energy company's annual gala, seizing 300 hostages, an ex-soldier turned window cleaner suspended 50 storeys up on the outside of the building must save those trapped inside, including her younger brother.",https://image.tmdb.org/t/p/w500/mwzDApMZAGeYCEVjhegKvCzDX0W.jpg,https://image.tmdb.org/t/p/w500/2TtpJq1PbeQ36E5FnHVX4O6hVvu.jpg,en,"28, 53"
141052,Justice League,Justice League,2017-11-15,51.2116,6.075,13133,"Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",https://image.tmdb.org/t/p/w500/eifGNCSDuxJeS1loAXil5bIGgvC.jpg,https://image.tmdb.org/t/p/w500/2nyaeISu2xIxIgZYNpX4UayY8PN.jpg,en,"28, 12, 878"
1232546,Until Dawn,Until Dawn,2025-04-23,48.9642,6.5,138,"One year after her sister Melanie mysteriously disappeared, Clover and her friends head into the remote valley where she vanished in search of answers. Exploring an abandoned visitor center, they find themselves stalked by a masked killer and horrifically murdered one by one...only to wake up and find themselves back at the beginning of the same evening.",https://image.tmdb.org/t/p/w500/6O9nkcmZBymDXtxOGJmulqcxJdv.jpg,https://image.tmdb.org/t/p/w500/3xKJ0nyUTlySmMBCpOcsuSnFPI1.jpg,en,"27, 9648"
1059073,Winter Spring Summer or Fall,Winter Spring Summer or Fall,2024-12-27,47.2145,7.344,90,"Remi and Barnes, two very different teenagers, meet by chance in the winter of their senior year, then spend four  days together over the course of a year that will change their lives forever.",https://image.tmdb.org/t/p/w500/mEPi5ISa5RmzpzeDfwkhX0CcNsf.jpg,https://image.tmdb.org/t/p/w500/6GGsUgmef5MIfJnnp2fGvkFWRg6.jpg,en,"10749, 35, 18"
